target,text,indices,label
battery life,"the $t$ has not decreased since i bought it , so i ' m thrilled with that .",1,1
technical support,"when i called toshiba , they would not do anything and even tried to charge me $35 for the phone call , even though they didn ' t offer any $t$ .",30,-1
boot mgr,i bought this notebook and only had it for 3 months if it is overload with updates the $t$ .,18,0
recovery cd,oh and if thats not bad enough it doesn ' t come with a $t$ so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds .,14,-1
price,the $t$ and features more than met my needs .,1,1
features,the price and $t$ more than met my needs .,3,1
skype,$t$ is just so dang cool with this machine too .,0,1
mouse buttons,the $t$ are hard to push .,1,-1
hdd,"also , $t$ secures inside using rails , and there is only one set on the main hard drive .",2,1
rails,"also , hdd secures inside using $t$ , and there is only one set on the main hard drive .",6,0
hard drive,"also , hdd secures inside using rails , and there is only one set on the main $t$ .",17,0
quality,all i will say now is that it was over two grand less expensive and so much better $t$ than my hunk of crap vaio .,18,1
staff,"( beware , their $t$ could send you back making you feel that only they know what a computer is .",4,-1
games,$t$ being the main issue .,0,-1
garageband,my sister has the same mac as me and she is in a band and uses $t$ to record and edit .,16,0
warranty,they say that this will invalidate the $t$ on the hard drive ( i don ' t really understand why but anyway ) .,7,-1
hard drive,they say that this will invalidate the warranty on the $t$ ( i don ' t really understand why but anyway ) .,10,0
price,and looks very sexyy : d really the mac book pro is the best laptop specially for students in college if you are not caring about $t$ .,26,-1
home use,a great computer for light $t$ and business use .,5,1
business use,a great computer for light home use and $t$ .,8,1
virus protection,"even with $t$ , it always turned off when updates were needed and installed .",2,-1
updates,"even with virus protection , it always turned off when $t$ were needed and installed .",10,-1
ms office apps,"also consider the $t$ are all trial versions , hope you have your own copies .",3,-1
games,"even so , i like playing online $t$ , so it was wonderful that there is a feature where i can dualboot windows .",7,0
feature,"even so , i like playing online games , so it was wonderful that there is a $t$ where i can dualboot windows .",17,1
windows,"even so , i like playing online games , so it was wonderful that there is a feature where i can dualboot $t$ .",22,1
battery life,the $t$ is amazingly long at 7hrs and 5hrs if you use it .,1,1
battery life,"lightweight , long $t$ , excellent transition from pc ;",3,1
price,the $t$ is another driving influence that made me purchase this laptop .,1,1
nortons virus scan,the $t$ is only for a very short time unlike others that usually are good for a year .,1,-1
frame,it is stamped and not in pieces therefore it is a stronger more resilient $t$ .,14,1
features,i am first time mac buyer and am amazed at $t$ and ease of use the mac offers .,10,1
use,i am first time mac buyer and am amazed at features and ease of $t$ the mac offers .,14,1
loaded,came fully $t$ - good .,2,1
windows,"i noticed $t$ has a new system called windows 7 , what about us vista users ? they should get all the bugs out of vista before investing in a new system .",2,0
windows 7,"i noticed windows has a new system called $t$ , what about us vista users ? they should get all the bugs out of vista before investing in a new system .",8,0
vista,"i noticed windows has a new system called windows 7 , what about us $t$ users ? they should get all the bugs out of vista before investing in a new system .",14,0
vista,"i noticed windows has a new system called windows 7 , what about us vista users ? they should get all the bugs out of $t$ before investing in a new system .",25,-1
vista,"when we bought our new hp comouter in dec . of 2008 , we wanted windows xp , but were told it would cost an extra $159 , so we went with $t$ .",32,0
key broad,"the only thing that i have , is the $t$ is a little dark to see the letters , would help if it was a little lighter then it is .",9,-1
warranty,"i ' m still within the one year $t$ but the repair "" depot "" has deemed that this time it was caused by physical abuse and is not covered .",8,-1
"repair "" depot","i ' m still within the one year warranty but the $t$ "" has deemed that this time it was caused by physical abuse and is not covered .",11,-1
school use,but i needed a laptop for $t$ .,6,0
design,this is the complete opposite to an ergonomic $t$ .,8,-1
battery life,i would like at least a 4 hr . $t$ .,9,0
programs,the only thing that i don ' t like about my mac is that sometimes there are $t$ that i want to be able to run and i am not able to .,17,-1
wireless,"$t$ has not been a issue for me , like some others have meantioned .",0,1
battery life,"macbook notebooks quickly die out because of their short $t$ , as well as the many background programs that run without the user ' s knowlede .",9,-1
programs,"macbook notebooks quickly die out because of their short battery life , as well as the many background $t$ that run without the user ' s knowlede .",18,-1
trackpad,"all the things you can do with the $t$ make navigating around the computer and its programs so much simpler , quicker , and easier .",8,1
navigating,"all the things you can do with the trackpad make $t$ around the computer and its programs so much simpler , quicker , and easier .",10,1
programs,"all the things you can do with the trackpad make navigating around the computer and its $t$ so much simpler , quicker , and easier .",16,1
speakers,i guess the only good thing that came out of these were the $t$ and the subwoofer .,13,1
subwoofer,i guess the only good thing that came out of these were the speakers and the $t$ .,16,1
built in camera,theres a $t$ with special effects for video and photography .,2,1
price,all for such a great $t$ .,5,1
warranty,"long story short , since i experience so many problems with my laptop every since i bought it from day one , i didn ' t ask for a new laptop or a refund of what i pay for a crapy laptop , but just an extension of my laptop $t$ for another year , they made a big deal of out that and after so many calls and complaints about their products and services , they finally gave in .",50,0
left mouse key,another thing is that after only a month the $t$ broke and it costed $175 to send it in to fix it .,9,-1
costed,another thing is that after only a month the left mouse key broke and it $t$ $175 to send it in to fix it .,15,0
speed,it has good $t$ and plenty of hard drive space .,3,1
hard drive space,it has good speed and plenty of $t$ .,7,1
picture,clear $t$ on it and everything .,1,1
extended warranty,"they said that my computer was covered on an $t$ , and that products with extended warranties are taken care of through third parties and not sony itself anymore .",9,0
extended warranties,"they said that my computer was covered on an extended warranty , and that products with $t$ are taken care of through third parties and not sony itself anymore .",16,0
battery,very long-life $t$ ( up to 10-11 hours depending on how you configure power level settings ) .,2,1
screen,"$t$ is awesome , battery life is good .",0,1
battery life,"screen is awesome , $t$ is good .",4,1
appearance,the black model also has a very nice seamless $t$ - one of the better looking notebooks i ' ve seen .,9,1
technical service for dell,the $t$ is so 3rd world it might as well not even bother .,1,-1
graphics,the $t$ were awful and the warranty isn ' t even worth the cheap payment on the computer .,1,-1
warranty,the graphics were awful and the $t$ isn ' t even worth the cheap payment on the computer .,6,-1
battery,"they gave me a hard time yet again , but their was a malfunction in the $t$ itself , it didn ' t die .",16,-1
case,"if you don ' t feel comfortable doing it yourself , just buy the $t$ and be happy , plus it looks nice , i bought the white one from best buy .",14,1
performance,"you can find many laptops with the same $t$ and even better with lower price , but you cannot find the look , easy , applications , and the experience in mac .",8,0
price,"you can find many laptops with the same performance and even better with lower $t$ , but you cannot find the look , easy , applications , and the experience in mac .",14,1
look,"you can find many laptops with the same performance and even better with lower price , but you cannot find the $t$ , easy , applications , and the experience in mac .",21,1
applications,"you can find many laptops with the same performance and even better with lower price , but you cannot find the look , easy , $t$ , and the experience in mac .",25,1
speed,excellent $t$ for processing data .,1,1
tech support,when you call $t$ you were routed to someone who was in another country and did not know what they were doing .,3,-1
use,"it has come into good $t$ for my finances , scheduling , my parents business expenses , and it is definitely amazing for gaming .",5,1
gaming,"it has come into good use for my finances , scheduling , my parents business expenses , and it is definitely amazing for $t$ .",23,1
photoshop,i was taught to use $t$ and was amazed .,5,1
system clock,somehow the $t$ got messed up after reboot .,2,-1
ram,"the only problem is that i had to add 1 gb $t$ , the computer was kinda slow .",11,-1
driver updates,"the $t$ don ' t fix the issue , very frustrating .",1,-1
windows,i will never go back to $t$ !,6,-1
work,it doesnt $t$ worth a damn .,2,-1
works,it $t$ really well .,1,1
hd,"bigger $t$ , better graphics card , and a bid hd .",1,1
graphics card,"bigger hd , better $t$ , and a bid hd .",4,1
hd,"bigger hd , better graphics card , and a bid $t$ .",10,1
built in camera,the $t$ is very useful when chatting with other techs in remote buildings on our campus .,1,1
dvd burner,"mine came at $1 , 700 w/o a $t$ ( ! ) .",8,-1
dvd burner,the $t$ broke after burning 3 dvd ' d during that time !,1,-1
works,it $t$ fine with our wireless and they ' ve had not problems .,1,1
15 inch,but you must get the $t$ .,5,1
product support,$t$ very poor as each phone call costs me long distan,0,-1
use,"overall the computer is very easy to $t$ , the screen is perfect , great computer , my daughter loves .",7,1
screen,"overall the computer is very easy to use , the $t$ is perfect , great computer , my daughter loves .",10,1
casing of the power cord,the $t$ fried and shocked my husband when he pulled it out of the socket .,1,-1
internet signals,it does not keep $t$ no matter where you bring it .,4,-1
price,it ' s a great product for a great $t$ !,9,1
right speaker,"again , the same problem , the $t$ did not work .",7,-1
software,but see the macbook pro is different because it may have a huge price tag but it comes with the full $t$ that you would actually need and most of it has free future updates .,21,1
updates,but see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future $t$ .,34,1
multiple page viewer,and the $t$ ( allows you to press one button to see every separate page currently opened at the same time in one screen ) are great for those who are working non stop or just shopping online .,2,1
shipped,this was the 3rd day and part still had not been $t$ .,11,-1
keyboard,$t$ good sized and wasy to use .,0,1
use,keyboard good sized and wasy to $t$ .,6,1
warranty,hp said it was out of $t$ .,6,0
quality,"i never had this kind of $t$ issue with dell ( not to say dell is that great ) , not with a brand new laptop .",6,-1
features,wonderful $t$ .,1,1
recovery disk,i had to call hp and ask for a $t$ because the computer does not come with one and completely redo it all .,9,-1
features,im glad that it has such great $t$ in it .,7,1
programs,i like those $t$ better than office and you can save your files to be completely compatible with the office programs as well .,3,1
office,i like those programs better than $t$ and you can save your files to be completely compatible with the office programs as well .,6,-1
office programs,i like those programs better than office and you can save your files to be completely compatible with the $t$ as well .,19,0
wifi,great $t$ too .,1,1
typing,"when $t$ , letters and spaces are frequently omitted requiring the user to redo many words and sentences .",1,-1
screen,"only a few days after i received the computer back , the $t$ froze again .",12,-1
temp,it is not ideal for children because of the $t$ .,9,-1
windows operating system,although i do believe that $t$ may be to fault for some of the problems .,5,-1
os,"great $t$ , fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port .",1,1
processor speed,"great os , fabulous improvements to the existing line bumping up the $t$ and adding the thunderbolt port .",12,1
thunderbolt port,"great os , fabulous improvements to the existing line bumping up the processor speed and adding the $t$ .",17,1
lcd screen,the $t$ stopped working on mine after 10 months .,1,-1
images,$t$ are crisp and clean .,0,1
windows vista,although its $t$ compared to windows xp sucks .,2,-1
windows xp,although its windows vista compared to $t$ sucks .,6,1
vista,"we have had numerous problems with $t$ , such as adobe flash player just quits and has to be uninstalled and then reinsalled , internet explore just quits and you lose whatever you were working on , also , the same windows update has appeared on this computer since we got it and has been updated probably 400 times , the same update .",6,-1
adobe flash player,"we have had numerous problems with vista , such as $t$ just quits and has to be uninstalled and then reinsalled , internet explore just quits and you lose whatever you were working on , also , the same windows update has appeared on this computer since we got it and has been updated probably 400 times , the same update .",10,-1
internet explore,"we have had numerous problems with vista , such as adobe flash player just quits and has to be uninstalled and then reinsalled , $t$ just quits and you lose whatever you were working on , also , the same windows update has appeared on this computer since we got it and has been updated probably 400 times , the same update .",24,-1
windows update,"we have had numerous problems with vista , such as adobe flash player just quits and has to be uninstalled and then reinsalled , internet explore just quits and you lose whatever you were working on , also , the same $t$ has appeared on this computer since we got it and has been updated probably 400 times , the same update .",41,-1
update,"we have had numerous problems with vista , such as adobe flash player just quits and has to be uninstalled and then reinsalled , internet explore just quits and you lose whatever you were working on , also , the same windows update has appeared on this computer since we got it and has been updated probably 400 times , the same $t$ .",62,-1
switch,with the $t$ being at the top you need to memorize the key combination rather than just flicking a switch .,2,-1
switch,with the switch being at the top you need to memorize the key combination rather than just flicking a $t$ .,19,-1
4gb stick of ram,"one more tip , please purchase this model and get a $t$ to save you $10",11,1
hardrive,it has bein into the shop to get a new $t$ 2 times and to fix the touch control buttons on the keyboard !,10,-1
touch control buttons,it has bein into the shop to get a new hardrive 2 times and to fix the $t$ on the keyboard !,17,-1
keyboard,it has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the $t$ !,22,-1
performance,i always have used a tower home pc and jumped to the laptop and have been very satisfied with its $t$ .,20,1
runs,"the computer $t$ very fast with no problems and the ilife software that comes with it ( iphoto , imovie , iweb , itunes , garageband ) is all very helpful as well .",2,1
ilife software,"the computer runs very fast with no problems and the $t$ that comes with it ( iphoto , imovie , iweb , itunes , garageband ) is all very helpful as well .",10,1
imovie,"the computer runs very fast with no problems and the ilife software that comes with it ( iphoto , $t$ , iweb , itunes , garageband ) is all very helpful as well .",19,1
iweb,"the computer runs very fast with no problems and the ilife software that comes with it ( iphoto , imovie , $t$ , itunes , garageband ) is all very helpful as well .",21,1
itunes,"the computer runs very fast with no problems and the ilife software that comes with it ( iphoto , imovie , iweb , $t$ , garageband ) is all very helpful as well .",23,1
garageband,"the computer runs very fast with no problems and the ilife software that comes with it ( iphoto , imovie , iweb , itunes , $t$ ) is all very helpful as well .",25,1
system board,at first it worked well for a month or so then the $t$ failed and i send it in to toshiba some complaints and three weeks later i then receive my laptop back only to discover that it still has the same problem so now i have to send it back again to get it fixed again .,12,-1
software,"until i bought the dell , i thought you just looked for what you wanted ( size , $t$ , options , hardware ) and purchase the best deal you could find .",18,0
hardware,"until i bought the dell , i thought you just looked for what you wanted ( size , software , options , $t$ ) and purchase the best deal you could find .",22,0
memory,"it has plenty of $t$ , lots of hard drive , and great graphics .",4,1
hard drive,"it has plenty of memory , lots of $t$ , and great graphics .",8,1
graphics,"it has plenty of memory , lots of hard drive , and great $t$ .",13,1
programs,it didn ' t take me long to get switched over to the mac computer $t$ and navigation - it ' s been just fine and like the way this laptop functions much better .,15,1
navigation,it didn ' t take me long to get switched over to the mac computer programs and $t$ - it ' s been just fine and like the way this laptop functions much better .,17,1
hinge,"however , my girlfriend realized that the netbook ' s $t$ is a bit loose ( when you open or close the lcd ) .",10,-1
lcd,"however , my girlfriend realized that the netbook ' s hinge is a bit loose ( when you open or close the $t$ ) .",22,0
dell customer service,my problem was with $t$ .,4,-1
rma service,"newegg ' s $t$ was great as always , i contacted them late friday night , and they issued me an rma number and a prepaid ups shipping label the very next morning on saturday .",3,1
design,$t$ : very durable .,0,1
keyboard,it is easy to go from one $t$ to another .,7,0
battery life,has a 5-6 hour $t$ .,4,0
screen/video resolution,my only issues are : 1 ) the $t$ won ' t increase to a higher resolution then 1024 x 60,8,-1
resolution,my only issues are : 1 ) the screen/video resolution won ' t increase to a higher $t$ then 1024 x 60,17,-1
dreamweaver,"i run $t$ , final cut pro 7 , photoshop , safari , firefox , msn messenger and a few other applications constantly at the same time .",2,0
final cut pro 7,"i run dreamweaver , $t$ , photoshop , safari , firefox , msn messenger and a few other applications constantly at the same time .",4,0
photoshop,"i run dreamweaver , final cut pro 7 , $t$ , safari , firefox , msn messenger and a few other applications constantly at the same time .",9,0
safari,"i run dreamweaver , final cut pro 7 , photoshop , $t$ , firefox , msn messenger and a few other applications constantly at the same time .",11,0
firefox,"i run dreamweaver , final cut pro 7 , photoshop , safari , $t$ , msn messenger and a few other applications constantly at the same time .",13,0
msn messenger,"i run dreamweaver , final cut pro 7 , photoshop , safari , firefox , $t$ and a few other applications constantly at the same time .",15,0
applications,"i run dreamweaver , final cut pro 7 , photoshop , safari , firefox , msn messenger and a few other $t$ constantly at the same time .",21,0
warrenty,"i was told by many that it was a great computer , but we got one of these , and it worked great for one year , and as soon as the $t$ was up , then it got really bad .",32,-1
tech support,ive had to call $t$ many times .,4,0
apple applications,"the $t$ ( ex . iphoto ) are fun , easy , and really cool to use ( unlike the competition ) !",1,1
gigs,not to mention it has shit $t$ .,6,-1
memory,"i paid for extra $t$ and the 17-inch screen , as well as the top of the line dvd and cd burners .",4,0
17-inch screen,"i paid for extra memory and the $t$ , as well as the top of the line dvd and cd burners .",7,0
dvd,"i paid for extra memory and the 17-inch screen , as well as the top of the line $t$ and cd burners .",18,1
cd burners,"i paid for extra memory and the 17-inch screen , as well as the top of the line dvd and $t$ .",20,1
web browsing,"its pretty fast and does not have hiccups while i am using it for $t$ , uploading photos , watching movies ( 720p ) on occasion and creating presentations .",14,1
uploading photos,"its pretty fast and does not have hiccups while i am using it for web browsing , $t$ , watching movies ( 720p ) on occasion and creating presentations .",17,1
watching movies,"its pretty fast and does not have hiccups while i am using it for web browsing , uploading photos , $t$ ( 720p ) on occasion and creating presentations .",20,1
creating presentations,"its pretty fast and does not have hiccups while i am using it for web browsing , uploading photos , watching movies ( 720p ) on occasion and $t$ .",28,1
quality display,"$t$ i love hp , , it ' s the only computer/printer we will buy .",0,1
12 cell battery,"despite the inconvenient weight , i opted for the $t$ .",9,1
case,the $t$ is carved out of a single block of aluminum .,1,0
power adapter plug,first it burned or fused the $t$ .,6,-1
features,"the $t$ are great , the only thing it needs is better speakers .",1,1
speakers,"the features are great , the only thing it needs is better $t$ .",12,-1
screen,"it was still working , but there was nothing on the $t$ .",11,-1
tab,i bought this laptop and found its $t$ is not functioning .,7,-1
extended warrenty,toshiba is aware of the issue but unless the $t$ is bought toshiba will do nothing about it .,9,-1
tft panel,"-called headquarters again , they report that $t$ is broken , should be fixed by the end of the week ( week 3 ) .",7,-1
navigation,"$t$ through the computer is far superior compared to windows operating systems , as well .",0,1
windows operating systems,"navigation through the computer is far superior compared to $t$ , as well .",9,-1
screen,"the $t$ is framed by half to a full-inch margin that is obviously unnecessary , reduces the screen size and increases the bulk .",1,-1
screen size,"the screen is framed by half to a full-inch margin that is obviously unnecessary , reduces the $t$ and increases the bulk .",17,-1
bulk,"the screen is framed by half to a full-inch margin that is obviously unnecessary , reduces the screen size and increases the $t$ .",22,-1
picture,"though the $t$ , video , and music software is nowhere close to professional grade software im used to ( cs5 ) but does the job for beginner and even intermediate media designers .",2,-1
video,"though the picture , $t$ , and music software is nowhere close to professional grade software im used to ( cs5 ) but does the job for beginner and even intermediate media designers .",4,-1
music software,"though the picture , video , and $t$ is nowhere close to professional grade software im used to ( cs5 ) but does the job for beginner and even intermediate media designers .",7,-1
software,"though the picture , video , and music software is nowhere close to professional grade $t$ im used to ( cs5 ) but does the job for beginner and even intermediate media designers .",15,1
combined touch pad and clicker,the much lauded $t$ is a nightmare .,3,-1
unibody construction,"the $t$ is solid , sleek and beautiful .",1,1
value,this macbook is an outstanding product with great $t$ .,8,1
windows,i had to re-install $t$ within two weeks of the purchase and soon discovered cracks in the screen hinges .,4,-1
screen hinges,i had to re-install windows within two weeks of the purchase and soon discovered cracks in the $t$ .,17,-1
battery,a second problem involves the $t$ which is advertised as having a storage life of 11 hours but when fully charged shows only 7 hours of service .,5,-1
service,a second problem involves the battery which is advertised as having a storage life of 11 hours but when fully charged shows only 7 hours of $t$ .,26,-1
storage,and plenty of $t$ with 250 gb ( though i will upgrade this and the ram . . ),3,1
ram,and plenty of storage with 250 gb ( though i will upgrade this and the $t$ . . ),15,0
nvidia chipset,"no temporary replacement , they are out of replacements because "" many computers had problems with the $t$ "" inquired status of repair .",17,-1
extended warranty,i took it to friend who temporarily fixed it and i finally paid about 1500 for the $t$ .,17,0
programs,"$t$ would crash all the time , and it turned out to be a very unstable , unreliable laptop for me .",0,-1
charge time,i bought this lap top and the $t$ dosen ' t last as long as they say it will more like 2 hours,7,-1
size,"also , because of the $t$ and consistancy of the laptop computer , some websites wouldn ' t even attempt to work on the computer because of browser problems .",5,-1
consistancy,"also , because of the size and $t$ of the laptop computer , some websites wouldn ' t even attempt to work on the computer because of browser problems .",7,-1
key bindings,"the $t$ take a little getting used to , but have loved the macbook pro .",1,-1
keyboard,$t$ is reasonable size .,0,1
size,keyboard is reasonable $t$ .,3,1
10-key,i find myself using the $t$ more than i thought i would .,5,1
fan,$t$ noise : the fan made a constant hissing noise in the background .,0,-1
fan,fan noise : the $t$ made a constant hissing noise in the background .,4,-1
screen,"the $t$ is bright and clear , the operating system is solid and friendly to a novice .",1,1
operating system,"the screen is bright and clear , the $t$ is solid and friendly to a novice .",8,1
processor,it has a . 1 ghz faster $t$ and a stock 500gb hard drive .,7,1
500gb hard drive,it has a . 1 ghz faster processor and a stock $t$ .,11,1
feature,the $t$ are good enough for what i need .,1,1
tech support,"finally , the biggest problem has been $t$ .",7,-1
usb output,""" this isn ' t a big deal , i haven ' t noticed the issue with dvds or other media , only through $t$ .",24,-1
wireless mouse,with windows laptops a $t$ is an absolute must .,4,0
windows linux,"( i had been a $t$ user before this ) i love the size because the screen is big enough for what i use it for ( internet , artwork ) , and yet it is small enough to be reasonably portable .",5,0
size,"( i had been a windows linux user before this ) i love the $t$ because the screen is big enough for what i use it for ( internet , artwork ) , and yet it is small enough to be reasonably portable .",14,1
screen,"( i had been a windows linux user before this ) i love the size because the $t$ is big enough for what i use it for ( internet , artwork ) , and yet it is small enough to be reasonably portable .",17,1
windows disc,but if you ' re willing to pay another 200 dollar for a $t$ .,13,0
quality,very good $t$ and well made .,2,1
touchpad,"i bought a logitech desktop set in anticipation for using with the mbp , but i use the $t$ 90% of the time .",18,1
video card,my niece and nephew have played a few web games and it runs anything that doesn ' t require a dedicated $t$ .,21,0
touch pad,it had the full sized $t$ with 2 buttons instead of just one .,5,0
external mouse,"typically , when i purchase a new laptop i always end up using an $t$ for convenience .",14,0
set up,it was super easy to $t$ and is really easy to get used to .,5,1
video,"the only thing that can be updated is the $t$ , other than that you ' re all set .",9,-1
value,its a good laptop for its $t$ .,6,1
hard drive,then the $t$ failed ;,2,-1
runs,"plain and simple , it ( laptop ) $t$ great and loads fast .",8,1
loads,"plain and simple , it ( laptop ) runs great and $t$ fast .",11,1
warranty,of course my $t$ runs out next month .,3,0
program,the capabilities using that $t$ alone made me want a mac .,4,1
spinning beachball,"( if you ever see the $t$ come up when you think it shouldn ' t , check the "" activity monitor "" app to see if the disk throughput has temporarily dropped to zero .",6,-1
disk throughput,"( if you ever see the spinning beachball come up when you think it shouldn ' t , check the "" activity monitor "" app to see if the $t$ has temporarily dropped to zero .",29,0
wireless internet access,"i have found also , it is very easy to be able to access $t$ ;",14,1
value,this is a great $t$ for the money .,4,1
ran,"it was a great laptop , $t$ great and was really fast .",6,1
battery,the $t$ has never worked well .,1,-1
company,i will never buy another computer from dell ever again do to how awful it worked and how i was treated by the $t$ .,23,-1
screen resolutions,the only problem is a lack of $t$ !,7,-1
carry,"small enough to use on a long flight , light enough to $t$ through airports and powerful enough to replace my desktop while on long business trips .",12,1
keyboard,typing on the $t$ becomes uncomfortable after extended use due to the sharp edges that your wrists rest on .,3,-1
edges,typing on the keyboard becomes uncomfortable after extended use due to the sharp $t$ that your wrists rest on .,13,-1
programs,"it has many great $t$ , such as ilife , iphotos and others .",4,1
ilife,"it has many great programs , such as $t$ , iphotos and others .",8,1
iphotos,"it has many great programs , such as ilife , $t$ and others .",10,1
processor,"the $t$ went on me , the fan went and the motherboard went .",1,-1
fan,"the processor went on me , the $t$ went and the motherboard went .",7,-1
motherboard,"the processor went on me , the fan went and the $t$ went .",11,-1
built,it is very well $t$ .,4,1
performance,i highly recommend this laptop to anybody that wants great $t$ from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door .,10,1
screen resolution,the $t$ was exactly what i was looking for .,1,1
snow leopard,"even though it is running $t$ , 2 . 4 ghz c2d is a bit of an antiquated cpu and thus the occasional spinning wheel would appear when running office mac applications such as word or excel .",5,1
cpu,"even though it is running snow leopard , 2 . 4 ghz c2d is a bit of an antiquated $t$ and thus the occasional spinning wheel would appear when running office mac applications such as word or excel .",19,-1
spinning wheel,"even though it is running snow leopard , 2 . 4 ghz c2d is a bit of an antiquated cpu and thus the occasional $t$ would appear when running office mac applications such as word or excel .",24,-1
office mac applications,"even though it is running snow leopard , 2 . 4 ghz c2d is a bit of an antiquated cpu and thus the occasional spinning wheel would appear when running $t$ such as word or excel .",30,-1
word,"even though it is running snow leopard , 2 . 4 ghz c2d is a bit of an antiquated cpu and thus the occasional spinning wheel would appear when running office mac applications such as $t$ or excel .",35,-1
excel,"even though it is running snow leopard , 2 . 4 ghz c2d is a bit of an antiquated cpu and thus the occasional spinning wheel would appear when running office mac applications such as word or $t$ .",37,-1
pad,there is no number $t$ to the right of the keyboard which is a bummer .,4,-1
keyboard,there is no number pad to the right of the $t$ which is a bummer .,10,-1
screen,after 20-30 min the $t$ of the notebook switched off .,4,-1
windows 7,"if upgrade is possible to the full $t$ , then i will truly be a very happy geek .",7,1
programs,"i was originally concerned that i couldn ' t view work i had done in college on my mac because of the pc formatting , but i was even more thrilled to learn of $t$ like ilife and iwork that allow you to convert your pc documents into readable files on macs .",34,1
ilife,"i was originally concerned that i couldn ' t view work i had done in college on my mac because of the pc formatting , but i was even more thrilled to learn of programs like $t$ and iwork that allow you to convert your pc documents into readable files on macs .",36,1
iwork,"i was originally concerned that i couldn ' t view work i had done in college on my mac because of the pc formatting , but i was even more thrilled to learn of programs like ilife and $t$ that allow you to convert your pc documents into readable files on macs .",38,1
battery life,10 hours of $t$ is really something else . . . .,3,1
runs,$t$ fast and the regular layout keyboard is so much better .,0,1
regular layout keyboard,runs fast and the $t$ is so much better .,4,1
programs,"all the $t$ are easy and straight forward on my macbook pro , it is clean and organized , which i always strive to be myself .",2,1
windows,i reinstalled $t$ through the recovery discs and everything seemed good again .,2,1
recovery discs,i reinstalled windows through the $t$ and everything seemed good again .,5,1
windows 7 starter,"$t$ is terrific ( no you can ' t change the background ) but i don ' t need to , i use it just for school work .",0,1
support,$t$ has been lackluster and now i just want a refund .,0,-1
3 year warranty,"first of all , they had no record of me having the $t$ i ' d paid almost $400 for , and i had to call in , spend hours on their online chat service , and fax in multiple documents .",12,-1
online chat service,"first of all , they had no record of me having the 3 year warranty i ' d paid almost $400 for , and i had to call in , spend hours on their $t$ , and fax in multiple documents .",34,-1
iphoto,""" > $t$ is probably the best program i have ever worked with : easy and convenient .",2,1
works,i love to write and play with graphics and html programming and my new toshiba $t$ great on both !,15,1
battery,my laptop now has no $t$ .,5,-1
use,it made the computer much easier to $t$ and navigate .,7,1
navigate,it made the computer much easier to use and $t$ .,9,1
battery life,": - ) if you buy this - don ' t go into it expecting 7 hrs of $t$ , and you ' ll be perfectly satisfied .",18,-1
battery,"needs longer lasting $t$ , more than 1 to 2 hrs .",3,-1
usb ports,in may i started having problems with the $t$ not working .,8,-1
battery,10 plus hours of $t$ . . .,4,1
design,"the $t$ is awesome , quality is unprecedented .",1,1
quality,"the design is awesome , $t$ is unprecedented .",5,1
mac version of microsoft office,the $t$ is cheaper than buying the actual and works just as well .,1,1
starting-up time,"the mac takes about the same amount of $t$ as the average pc , but keeps itself cleaned up and ready to use .",8,1
operates,the toshiba net book $t$ very well .,4,1
touch pad,"the $t$ is fine - again , it ' s a real touch pad .",1,1
touch pad,"the touch pad is fine - again , it ' s a real $t$ .",13,1
pictures,the $t$ are clear as can be .,1,1
transporting,"it is also very lightweight , making $t$ this computer very easy .",7,1
gaming,it ' s wonderful for computer $t$ .,6,1
wifi card,you have to toss out the $t$ and replace it just to have any sort of network capability .,6,-1
network capability,you have to toss out the wifi card and replace it just to have any sort of $t$ .,17,-1
printer,"and the best part is that it even comes with a free $t$ ( when they have a certain promotion/offer going , of course ) !",12,1
use,it is very easy for anyone to $t$ an apple and specially the mcbook pro notebook .,7,1
os x,"the flaws are , this computer is not for computer gamers because of the $t$ .",14,-1
repair service,they really do have the worlds very worst $t$ .,8,-1
customer service agents,they need to stop outsoucing and send some complaint calls to us based $t$ for those who live in the united states .,13,-1
photoshop,i was also able to install and use my $t$ and aftereffects programs easily .,9,1
aftereffects programs,i was also able to install and use my photoshop and $t$ easily .,11,1
runs,it ' s perfect for everything and $t$ faster than an average pc !,7,1
warrenty,then after paying for it to be examined i was told it was same problem cited on website but i ' d have to pay anyways since it was past $t$ .,30,-1
look,i ' m already hooked on the sleek $t$ and dependability that this laptop has shown .,8,1
dependability,i ' m already hooked on the sleek look and $t$ that this laptop has shown .,10,1
company,and having to deal with the $t$ has been a even worse nightmare .,6,-1
warranty,i will definitely be getting a new laptop if it has any more issues after the $t$ expires and researching carefully when i do so i don ' t run accross a situation like this again !,16,0
features,it has all the $t$ that are necessary for college and if not they are able to be added onto the computer .,4,1
mouse button,"i ' ve owned this labtop for less then two months , already the $t$ has broke .",14,-1
performance,"it did fairly well , other than it ' s poor $t$ , overheating and occational blue screen .",11,-1
touchpad,"the $t$ is very intuitive , so much so that i never want to use buttons to click again !",1,1
buttons,"the touchpad is very intuitive , so much so that i never want to use $t$ to click again !",15,0
programs,tons of bloatware and junk $t$ .,5,-1
