target,text,indices,label,tweetID,type
hospital,Great info graphic here with key messages from new @ NuffieldTrust # GE2015 briefing on # NHS $t$ access targets : http :// t . co / fqeAH0DNRg,17,0,576357788097605632,topic keyword
economics,"Almost hilarious to hear SNP talk $t$ - € , arc of prosperity , gambling on oil price , currency union ... Always wrong ! # bbcqt",6,-1,573624961895645184,topic keyword
patients,"David Tredinnick MP is right , astrology and homeopathy would take pressure off the # NHS - most $t$ would die as infants . # GE2015 # UK",18,-1,570807461973618688,topic keyword
tories,"# GE2015 - David Cameron : $t$ would open 500 new free schools if we win election , LOL yeah and you won ' t put up Uni fees ...# DontVote",6,1,574845393823002624,party keyword
terror,"# bbcqt the war against $t$ has infringed on soo many values - the rule of law , justice , human rights all out of the window !",5,-1,578697476619796480,topic keyword
nato,"Ta but no ta , old parties . I ' d rather not have an A - bomb in my London garden to satisfy EU and $t$ imperialism . # bbcqt # UKIP # Ukraine",26,-1,566013119307472896,topic keyword
overseas aid,". @ YouGov : The areas people most wanted to see cut were $t$ ( 66% ), welfare benefits ( 36% ) and environment & CC ( 29% ). # GE2015",13,-1,577481334307860480,add
immigration,So British ppl are so concerned abt $t$ # GE2015 hinges on it . Does this mean # BNP were right all along ? You were warned # ukip # edl,7,-1,578525029509529600,topic keyword
ukrain,""" Russia on the march "" What is the guest on . There was peace in Ukraine UNTIL the EU + UK + NATO + US stuck their nose into $t$ oil / gas # bbcdp",30,-1,573819165842227201,ne
waiting times,Wingsification of # GE2015 . My aim is to elect a Labour government would launch an independent review of the culture & E $t$ in,23,0,579110760615407616,topic keyword
austerity,"@ LeanneWood Great comments on disconnected PM , food banks , zero hour contracts , $t$ etc . Brava ! # bbcqt # bolton",15,-1,581488910007726080,topic keyword
nhs,Viewer needs to know Labour ' s plans for $t$ cant get off ground until 2016 / 17 because they wont have finance to do what they want # bbcsp,9,-1,582127554989068288,topic keyword
labour,"In 2010 $t$ said no money was left , so * any * in budgets after # ge2015 at all it will be money collected by the Coalition .... # bbcsp",2,-1,582133351672389632,party keyword
police,"If you didn ' t pay your taxes sir you ' d have to spend your money on everything you currently take for granted ... Health , bins , $t$ # bbcqt",29,0,578693511089913856,topic keyword
treasury sel com,"Osborne was being "" absolutely straightforward "" with $t$ says Matt Hancock , but says "" of course "" he knew abt no VAT rise # bbcdp",8,0,581071293778407425,ne
eu,Immigration has increased because you ' re not allowed to decrease it under $t$ rules # BattleForNumber10,13,-1,581201735705821184,topic keyword
migration,That old labour $t$ prediction was wrong because Germany didn ' t also open borders # BattleForNumber10,3,0,581217186829754369,topic keyword
kinlochard,Lord Kerr of $t$ is insisting that the UK must give taxpayers financial aide to Ukraine . How about the UK families ? # GE15 # VoteSNP,3,-1,581475734960660480,ne
euro,Current EU direction of travel seems to indicate that adopting the $t$ will be an eventual inevitability of membership . # BattleForNumber10,11,0,581210832534654977,topic keyword
prison,"Hazel Blears should be in $t$ for expenses fraud . Do the decent think , KICK HER OUT IN # GE2015 . # C4News",5,0,576103213079912448,topic keyword
fanny,"Farewell to Danny the $t$ and Nick Clegg , I ' m sure you ' ll win back admirers when you appear on Strictly Come Dancing # Budget2015 # bbcdp",4,-1,578205393899405312,ne
trident,Less than 50 days until # GE2015 - I have still no idea what @ labour stands for other than renewing # $t$ and more # austerity # deadLabour,22,-1,581005406819893248,topic keyword
tuition fees,What about the $t$ that have already been paid out by students at £9K per year ? Will they get debt written off ? # BattleForNumber10,3,-1,581213826089164800,topic keyword
@BBCLondon949,"@ thejamesmax $t$ I was at school with Will Self , good to see him on # bbcqt And had a Mastermind winner in my year at university .",2,0,580214298728919042,ne
ukhousing,Our manifesto calls for a commitment to end the housing crisis within a generation : http :// t . co / vDcBDSeEre # $t$ # GE2015,23,0,573784691330969600,topic keyword
ed miliband,"# Budget2015 /# bbcdp . $t$ , like George Osborne , mentions "" the North "" specifically . Crucial # GE2015 battleground .",5,0,578189414356140032,ne
mansion tax,Loads of properties over £2m up in Aberdeen and nearby . $t$ on those could fund in North England - so not just SE England # bbcqt,11,1,581227240207327233,topic keyword
milliband,"$t$ and Labour need to pull something out of the bag , a U turn on an EU referendum would change the election weather # GE15",0,-1,581741760075968512,ne
cameron,"I do not care what $t$ thinks of Milliband . I want to know his views on NHS , 0 hour contracts & the housing crisis # BattleForNumber10",5,0,581205498290159616,ne
vat,# GE2015 : Labour to pledge not to increase $t$ http :// t . co / ONQu5QVRkn < They ' ll whack up your income tax though . No doubt fuel duty too .,9,1,580404993485729792,topic keyword
mortgage,"# bbcdp Beckett claimed 2nd home allowances of £72 , 537 for her home in Derby from 2004 - 2008 , despite having no $t$ or rent to pay on it",24,0,572736953197727744,topic keyword
ben,"# bbcqt the incentive for private landlords is profits from Housing $t$ , houses as investments & tax breaks + abusable tenant rights",11,0,578700591179939840,ne
treatment,The drunk should pay for NHS $t$ . # bbcqt,6,0,566017683704274945,topic keyword
tory,""" When will the govt put in rent controls "" - Never rich pensioners make a killing off second homes . Hits $t$ g spot to fuck poor # bbcqt",22,-1,578698964989558784,party keyword
tories,"Are you saying Osborne ' s responsible for world oil prices & supermarket wars . Stagnation resulted , $t$ inherited GROWING economy # bbcdp",18,0,570202729236312064,party keyword
ge2015 tory pr,Britain sending 75 troops to Ukraine . That ' ll put the fear of God into the Russians . Or not . NATO tokenism ? Or cheap # $t$ ?,28,-1,570722924228968448,ne
battlefornumber10,What I want to know is what they have in store for my # retirement - I ' ve paid my # taxes all my # life what will # $t$ do for me ?,30,0,581175235401162752,ne
tory,@ commentisfree @ pollytoynbee Luckily $t$ ' austerity ' has already been met with Green Party outrage . # Greensurge # GE2015 # UK # inequality,5,-1,577724677222768640,add
clegg,"DC on the ropes about # immigration figures . EM wants a live public debate 1 week before # GE2015 DC : ' let ' s debate here ', $t$ nods # PMQs",29,0,573094250583339008,ne
homeless,# bbcqt If private landlords hadn ' t stepped in where councils stepped back half the country would be $t$ !,19,-1,578700599144947712,topic keyword
chakravarty,"# bbcqt $t$ loves the sound of her own voice . Taxpayers ' Alliance is a libertarian right wing group , don ' t be fooled by the name !",2,-1,578699216270282752,add
labour,"# GE2015 # $t$ would have to summon huge tax increases , sack Trident to cancel the £100bn deficit and give the # SNP the £bn ' s they want .",3,-1,582512308745867265,party keyword
banking,Bet Sajid Javid never mentions that Cameron & Osborne were calling for even less regulation of the banks just before $t$ crisis . # bbcqt,20,-1,578693104846442496,topic keyword
fraud,@ David _ Cameron 5 more years of an unelected $t$ aiding rich & pissing all over the poor . THAT frightening prospect we must avoid # bbcdp,10,-1,574897162007482368,topic keyword
tories,"# GE15 . $t$ now clear favourites to win Election , Labour looking bad with tax hikes on offer and public not backing pension theft by Balls .",3,1,580741300972048384,party keyword
top rate of tax,It ' s not a priority but UKIP would cut the $t$ to 35p . That ' s pretty establishment for the so called ' People ' s Army '. # marrshow,11,-1,579602679200161792,topic keyword
leanne wood,If I stay up for # bbcqt tonight it ' ll be to hear what $t$ ' s got to say . One of the clearest anti - austerity voices in UK politics,15,1,581172723193421826,party keyword
chancellor,Osborne has the highest satisfaction score of any Tory $t$ since Nigel Lawson in 1987 . New @ IpsosMORI # ge2015 http :// t . co / IF2UUlIcm4,9,0,576020279073312768,topic keyword
nuclear,"Labour don ' t need SNP on Trident , if they want to renew it . Tories would never vote to scrap $t$ subs for short - term party gain . # bbcdp",22,0,582510603413123073,topic keyword
tory,"Amazingly , the $t$ and TPA are not interested in reducing Housing Benefit costs by capping rents to private landlords . # bbcqt",3,-1,578699512191041536,party keyword
austerity,"Oh we have $t$ , but we can increase military spending to back nuclear russia into a corner ? Who are the dictators here ? # bbcqt",3,-1,566011825956069376,topic keyword
uk,"of course the $t$ doesn ' t have an army the size of Russia ' s ffs , we are a fraction of the size of Russia , would be daft for us to # bbcqt",3,0,566013915554148353,ne
cuts,# Tories in # Cameron ' s constituency awarded 19% pay rise despite £20m of $t$ http :// t . co / XI4WEnKMTc # Austerity # bbcdp http :// t . co / PHMqRGHyRM,15,-1,582505473104052224,add
defence,# GE2015 # indy Straw and Rifkind offer two good reasons why Scotland shouldn ' t be happy with UK in charges of our $t$ and foreign affairs,24,0,569864778161766401,topic keyword
nhs,"I do not care what Cameron thinks of Milliband . I want to know his views on $t$ , 0 hour contracts & the housing crisis # BattleForNumber10",17,-1,581205498290159616,topic keyword
oil,"People don ' t get that rUK benefits from "" pooling and sharing of resources "" too e . g . $t$ & gas taxes . Should mansion tax stay in SE ?? # bbcqt",21,0,582257364922966017,topic keyword
stem,Policy on tuition fees better under @ Nigel _ Farage make uni free for outcomes that will benefit us all - $t$ # BattleForNumber10,21,1,581214082457550849,ne
isis,"MT @ SkyNews : OBSERVER : "" Nine British medics enter $t$ stronghold to work in hospitals "" # skypapers # bbcpapers # bbcqt http :// t . co / m5RzVBTT26",11,0,579405705775595520,ne
eu,@ elizagalos Probably one reason for focus on $t$ immigrants is that compared to immigrants from the Commonwealth they can ' t vote in # GE2015,8,0,570960390500315136,topic keyword
minimum wage,"I hope parties don ' t talk about the $t$ in the run up to the # GE2015 , as if paying the bare minimum is something to be proud of .",9,-1,573024593578987520,topic keyword
vat,"You said no plans to raise $t$ to my face - twice , Paxman tells Cam . We know what ' s necessary in next Parly , Cam replies # BattleForNumber10",6,-1,581202061645205504,topic keyword
foxnews,""" Job creators "" Matthew "" No one controls the oil price "" Hancock gets more & more Murdoch everyday # bbcsp # $t$ http :// t . co / AMxKI6F5ld",23,-1,564387838045995010,ne
private schools,"@ UKLabour Millionaires and $t$ , tax dodging and zero hours , vote Labour to keep their MPs in the style they are want # GE2015",4,-1,582535024215482369,add
economics,Spending / borrowing your way to prosperity does not exist . When will the left accept that ?! It ' s simple $t$ !!!!! # GE2015,22,0,570725655471661057,topic keyword
gp,# bbcqt Remember ppl Jeremy Hunt MP took his child to A & E for something his $t$ could quite well deal with .,17,0,566018125016363009,topic keyword
nhs,£100bn for Trident over 35 years . £2bn a year is NOTHING in government spending terms . The $t$ gets through that in a WEEK ! # bbcqt,18,0,573619430284005378,topic keyword
trade,"Frerdom , Liberty , $t$ . ... oh yeah and maximising taxation paid ... # bbcqt",4,0,566012380896055296,ne
@Ed_Miliband,How on earth do the @ LibDems have the brass neck to criticise $t$ for reducing the tuition fees they lied about reducing ! # ge2015,13,1,571433222753669120,ne
cancer,"We ' re looking at 460 , 000 more people with $t$ in the NHS and then pronouncing them fit for work # battlefornumber10",11,-1,581209349340659712,topic keyword
george osborne,Bercow brings the House to order after Ed Balls & $t$ indulged in a sedentary slanging match over Dave ' s announcement # GE2015,10,0,580120818950246400,ne
frerdom,"$t$ , Liberty , Trade . ... oh yeah and maximising taxation paid ... # bbcqt",0,0,566012380896055296,ne
islamist,"I ' m no fan of the EDL but it was a bi product of $t$ extremism and the rape of children by Muslim men , ignored by the police . # marrshow",15,-1,579572272345804800,ne
middle east,"Wars in the $t$ , Plagues in Africa , Neltdown in Europe . "" Was the BBC right to sack # JeremyClarkson ?"" Will no doubt appear # bbcqt",3,-1,581224244232736769,ne
bet,' We have not delivered a target that was the right target '. $t$ it was them damn badgers moving Tory immigration policy this time . # bbcdp,13,0,573103025159598080,ne
uk,The only crisis in the nhs is the fact we ' ve got millions of more people in the $t$ that have never paid into it but taken plenty out # bbcqt,19,0,573628372418437122,ne
nhs,"# bbcaq # bbcqt # bbcsp The # lefties say ' # publicsector will be cut back to 1930s spending , before the # $t$ ' I say , BRING IT ON ! # GE2015",24,-1,574627165855170560,topic keyword
nhs,Does he not read the news or go into hospitals ? The $t$ is in crisis and the blinkers are on ! # BattleForNumber10,12,-1,581209417909182464,topic keyword
defence,"Trust # Tories on stats ? 2% spending $t$ saga typical # condems - to hit the target , you change the definition # bbcdp # bbcnews # budget2015",8,0,578207043758243840,topic keyword
economy,".@ PHammondMP says pressure will be maintained on Russia , but greatest pressure comes from low oil price hurting Russian $t$ . # marrshow",20,0,574508762628759552,topic keyword
dodgydave,I don ' t give a toss about the pink bus please talk about tax dodgers or the NHS or cruel DWP decisions or why # $t$ does nothing # bbcqt,26,-1,566016032603897856,add
gps,@ kdugdalemsp wants increased out of hours GP access without funding more $t$ ? # BBCQT,12,0,573629208250970112,topic keyword
miliband ,"# Cameron says u can choose an economy that grows , creates jobs , a gov that cuts taxes or choose economic chaos of # $t$ # GE2015",25,-1,582504485169328128,add
mass murder,Does # bbcqt deliberately go out of its way to ignore the ' ethnic cleansing / illegal wars causing $t$ of muslims ' elephant in the room,19,-1,578717372527312897,add
living wage,Increase the minimum wage to a $t$ ya tory reptilian bastard # BattleForNumber10,6,1,581200517881298944,topic keyword
tenants,"Every Tory house buying scheme is a Help - to - Buy - to - Rent - and - Rip - $t$ - Off - Scheme , aka Loads - A - Money . # bbcqt",21,0,578701178923520000,topic keyword
ukhousing,More UK voters identifying housing as ' key issue ': @ BenM _ IM blogs for @ 24dash http :// t . co / EFqFuk5kTs # $t$ # GE2015,26,-1,578904061300330496,topic keyword
@WyeLea,$t$ @ amandacameron @ anoracyracen @ friel _ sue @ irnbrudreaming Ah right . UK foreign policy decisions worry me more e . g . Iraq 2003 . # GE2015,0,0,582156314505277440,ne
labour,The only advantage i can see for $t$ going in with the SNP is getting rid of the new Trident which we do not need in this new age # bbcqt,7,0,573619485858467840,party keyword
elderly,$t$ in care homes ? There bed blocking b / c social care has been slashed to the bone . Hunt destroyed NHS & sold it off # BattleForNumber10,0,0,581206133639143424,topic keyword
deported,"# bbcqt people who joined IS , should not be allow to come back to UK they all with their family must be $t$ from this country",23,-1,578696559744958464,topic keyword
#bbcqt,"First time watched $t$ in ages : still the same , full of idiot poodles . The answers about Putin was hypocritical crap . No talk of NATO .",3,-1,566015324378910720,add
uk,# bbcqt people have lost track . No need to be on welfare there are plenty of jobs in $t$ . Immigrants only come here for work .,19,1,581231377263263744,ne
win,@ MichaelLCrick Ain ' t gonna change the fact @ David _ Cameron is a shiny faced COCK & his time is up so get the troops out # EDM and $t$ # GE2015,31,0,573457786610282496,ne
financial crisis,Tony Blair did not cause the global $t$ the conservatives would have probably voted for more deregulation of banks # GE2015,7,-1,581217910577840128,topic keyword
doctors,"In the event of a hung Parliament , it should be law that the campaign managers & spin $t$ of each party be actually hung . # GE2015",18,-1,574189633971613696,topic keyword
immigration,"# bbcdp If only politicians , of all parties , realised just how sick the citizens of UK are of being lied to re $t$ . We ' re sick of it",24,-1,573103412532920320,topic keyword
apprenticeships,with the few $t$ out there it will be difficult for those who don ' t want to go to college ; what can they do ? # BattleForNumber10,3,-1,581203228139851778,topic keyword
isas,Silly Tories saying that $t$ are tax avoidance . Honestly they are sanctioned & promoted by Govt . Not paying VAT most definitely not ! # bbcqt,4,0,566006983363686400,ne
jimmurphy,"Where did # $t$ get my e - mail address from ? He says he has a plan . Is it a "" long term economic plan "" by any chance ? # voteSNP # GE2015",3,-1,570649912662208512,ne
obr,"$t$ had revised down inflation forecast to . 2 per cent and down for the following three years , says Osborne # GE2015",0,0,578175684100689920,topic keyword
tax avoidance,"@ thynameischris1 $t$ = legal , tax evasion is what Osborne insists HMRC ask you not to be naughty again & use harsh language # bbcdp",2,0,565850189777604608,topic keyword
battlefornumber10,# $t$ and now we see why he didn ' t want a debate . No real challenge to his half truth answers - didn ' t deny lying about NHS,1,0,581210106014093313,ne
bosch,"I can see VW , BMW Siemans , Adidas , $t$ etc etc etc refusing to sell their goods to us if we came out of the EU ... not ! # bbcdp # Labour",10,0,582503089007144960,ne
@Margaret_Curran,$t$ not confident of winning # ge2015 You ' re asking Tories to come up with new economic plan . Should no one of your own in Bill,0,-1,573051991263461377,ne
nato,Cameron looks into if intelligence services can be included in $t$ 2% defence spending # ge2015 # tomorrowspaperstoday http :// t . co / xZEuJ4pDnK,10,0,575411062167748608,topic keyword
inequality,66 food banks when Cameron came to power . Now 441 in operation . Strong opening challenge on $t$ from Paxman . # BattleForNumber10,18,-1,581199958994468864,topic keyword
cameron,This is the question - how is $t$ going to convince the UK not to opt out of the EU . Farage is busily taking notes # BattleForNumber10,7,0,581208287166771200,ne
murder,"As long as someone doesn ' t break the law with their words - inciting $t$ , rape , terror - then let them say what the hell they want # bbcqt",15,-1,573627800697073665,add
brownfield,@ Katiielou580 that was fault of the recession / pathfinder / renew West Midlands . No new homes being built on $t$ . It ' s appalling # bbcqt,21,0,578700517444100096,topic keyword
@ceesav,"$t$ think so , but Osborne is in the frame too , did you see his eyes this morning entering No10 - thought he was going to orgasm # bbcdp",0,0,580348876621778944,ne
george osborne,""" Look , we are - we ' re trying to get - a majority .."" $t$ on # marr , worried people may vote # Ukip , no mention of # Greens .. # GE15",16,-1,577044301156323328,ne
javid,"$t$ has got entirely the wrong audience for this spiel . Waffling on about "" help to buy "" when "" right to buy "" gutted social housing # bbcqt",0,-1,578700080942829569,ne
@jamesrbuk,HT / MT $t$ # Osborne says he can cut £12bn off the welfare budget > http :// t . co / NW945Xt0nK … # ge2015 # deathofsocialsecurity # Budget2015,3,0,578937897493143552,ne
bbcqt,Danny has NO right to talk about how bad the Tories are . His party ALWAYS supports them ... Danny is more rightwing than Osborne ! # $t$,27,0,573623381888733184,ne
police,"UK judiciary ' s supposed to be independent , as are $t$ . Please don ' t laugh , its true ! No criminal bankers prosecuted . # GE2015 # HSBC # Lords",11,-1,576359446915465216,topic keyword
cam,How can $t$ stop parents using sending their Child Benefit abroad ? Will Cam stop all parents in UK spending CB how they wish ? # GE2015,2,0,581211671026352128,add
headmaster,Ed Miliband is wilting here - it ' s like a naughty kid in front of the $t$ . Cameron was much more cool and collected # BattleForNumber10,17,0,581217434885062657,topic keyword
georgekerevan george osborne,@ alexmassie @ $t$ is an economic failure . But he may come to be seen as a political success . Depending on # GE2015,3,-1,578347767510138881,ne
trident,# GE2015 # BBCPapers The # $t$ issue should be solved by a referendum in the event of a coalition . I feel WITH ALL FACTS most would keep it,6,1,573993366779748352,topic keyword
muslims,"# bbcdp Jews again what about the rest of us are we expandable , what about Christians , $t$ , atheists where is the police protecting thm",18,-1,564764950363906049,ne
miliband,# BattleForNumber10 So $t$ has fucked himself there ... I MAKE NO BONES ABOUT IT !!! As we need a referendum to decide on the EU !!,3,-1,581212956991602688,add
osborne,$t$ : ' Out of the red and into the black ' # Budget2015 .... Let ' s not go back to the Reds # GE2015,0,1,578178551607869440,topic keyword
terrorism,# bbcdp hits near rock - bottom as temporary Con MP Rehman Chishti is imported to talk about control orders and $t$ . He has nothing to say,21,-1,572367484688449536,topic keyword
a&e,You ALREADY ARE dealt with by the police if you ' re drunk and abusive in $t$ . We already do that . Pay attention to your own country . # bbcqt,16,-1,566018491757899777,topic keyword
taxes,"@ bbcquestiontime 25% income tax . 20% VAT , Tax on Petrol , etc etc and this is taxed money you are paying Vat / $t$ on # BBCQT # UKIP",25,0,578691200984694784,topic keyword
tuition fees,Lowering $t$ is nowt to do with a family ' s class - it ONLY helps v high earning graduates # battlefornumber10 http :// t . co / nDfvfI0mY4,1,1,581211762554486785,topic keyword
nhs,"Regardless , People pay their taxes so ergo entitled to free $t$ treatment .. That man asking the question is an idiot # bbcqt",11,1,566019219238969344,topic keyword
balls,Ed no Mr $t$ wasn ' t first person to say banks needed to be properly regulated it was Vince Cable of the # LibDems # BattleForNumber10,3,0,581214986632036352,topic keyword
economy,"# bbcqt yep - $t$ thats a race to the bottom , stiglitz called it trickle up economics ! The poor pay for the rich ....",4,-1,568544073092628480,topic keyword
budget2015,George # Osborne steps out of No . 11 for the famous photocall with the Budget box . # $t$ # GE2015 http :// t . co / M4eczZiDai,19,0,578154818906288128,topic keyword
deregulation,"It was Labour ' s spending splurge , $t$ of the financial sector plus banking crisis which wrecked the economy . # BattleForNumber10",8,0,581214956554756096,topic keyword
debt,$t$ of 130% over GDP calls for urgent deficit cut . Good thing to cut spending but is 2 billion cut the necessary figure ? # BattleForNumber10,0,-1,581208512023420928,ne
jim murphy,@ TasminaSheikh only in the warped world of $t$ would you say you wanted rid of nuclear weapons then vote for them . # VoteSNP # GE15,8,-1,581826788667588608,ne
landlord,# bbcqt We rent in London from a Housing Association our experience of them has been far better than any private $t$ we ' ve ever had,21,-1,578701214013075456,topic keyword
suicide,"# bbcqt Massive growth - yes , in people needing foodbanks , in homelessness , in housing benefit claims , in $t$ # CompassionateConservatives",21,-1,578690725656834051,add
treatment,"Pilots getting medical $t$ for an eye condition does not equal depression , but obviously says something else # marrshow # marr",3,0,582094610501103616,topic keyword
scottish,MT via '@ pulsetoday $t$ GPs vote to remove QOF from GP contractual negotiations http :// t . co / 1nvU9gopZ6 ' < Good . Game on . # GE2015,4,0,577118573585412096,ne
battlefornumber10,As the # $t$ rages on candidates must be reminded that cancer care and treatment needs to be a priority during # GE2015,3,0,581422169474916352,add
eu,# ERUOPE # BATTLEFORNUMBER10 What would it take for you to vote NO to staying in the $t$ - The PM says he is ror the union .,17,-1,581203456591060993,topic keyword
@drmarielouise,The Scandal of NHS Continuing Healthcare Funding . A @ HuffingtonPost article by $t$ # VoteLouise # GE2015 https :// t . co / eh0GNitpHh,13,0,567758798216261632,ne
snpout,Ed Balls wouldn ' t reverse anything from Osborne ' s budget http :// t . co / JAQ4UxcitN via @ politics _ co _ uk # $t$ # GE2015,27,0,578522643479064576,ne
tax avoidance,"# bbcdp , maybe closing $t$ friendly Pay Deals for # BBC talent might help towards giving the # NHS more funds , eh Mr Neil ??",5,-1,581431004163940352,topic keyword
food banks,# GE2015 paxman going in strong with $t$ and zero hours contract .,7,0,581199939172208642,topic keyword
euro,"# BattleForNumber10 how do we encourage Britain not 2 leave EU ? Get UK a new deal outside the $t$ and EU "" state "" - public will decide",19,-1,581208443693957120,topic keyword
labour,"$t$ ' s 5% cap on profit for NHS private health companies is a very good idea , my taxes are for the good of people not corporations # bbcdp",0,1,581431273803145217,party keyword
individual responsibility,# bbcqt since when does democracy contradict $t$ ? # nhs A & E should be used for what it ' s needed for,7,1,566019254802456577,add
labour,# bbcdp least we forget ? Tis was $t$ who said it ' d cut NHS by 8% .. Oh & look at the Welsh NHS begging its people to bring in their own food,8,-1,578896366497333248,party keyword
unemployment,"$t$ is only "" down "" because workfare , zero - hour contracts & bogus self - employment are used to fiddle the figures . # BattleForNumber10",0,-1,581217912628879360,topic keyword
@LiverpoolYG,Well said @ LeanneWood - if you punch someone in the face at work you get fired & in some cases prosecuted # bbcqt # assault $t$,26,0,581240057702518784,ne
bentley,Pensions experts on the News advising people NOT to blow their Pension Pot on a Jag . Quite right too ! Get a $t$ or an old Lambo .# GE2015,23,0,576447547692175360,ne
nuclear,"Yes , we have a reckless man in Russia in possession of $t$ weapons . So why do want a part - time nuclear deterrent Ed Davey ?! # bbcqt",12,-1,566013698742169602,topic keyword
mep,"# BBCDP # UKIP $t$ says their proposed immigration system would have meant 30 , 000 net migrants in last year",4,0,573087593392414720,ne
bbcqt,# $t$ should we ban agencies that recruit people 2 go & work in # USA # Aus # NZ & # EU - Look at both sides # SmokeMirrors # Agendas,1,0,581238508494438402,ne
budget2015,@ daily _ politics Osborne kitchen comments beneath contempt - he has 2 taxpayer paid HOMES ( btw Bedroom Tax !!!) # $t$ # bbcdp,22,-1,578186079121080320,topic keyword
ge15 ,# PMQs all about @ theSNP let ' s get on and win # $t$ in Scotland to achieve real change at Westminster and an end to austerity . # VoteSNP,14,1,575631351703015424,add
bbcqt,"We need more social housing , says Will Self . Not only do I agree with him , I actually understood what he said , so two firsts . # $t$",30,0,578701065035591680,ne
@dannyalexander,$t$ Zero hours contract ? Minimum wage jobs ? Really ? # bbcqt,0,0,573624138318794753,ne
euro,Getting out the $t$ bailout scheme ? I ' d forgotten how we were a member of the Eurozone before 2010 # BattleForNumber10,3,-1,581203177829171202,topic keyword
eu,"Immigration HAS risen . Here ' s an unskilled , non - $t$ migrant , LIVING IN MY HOUSE !# BattleForNumber10 @ jasonpbell http :// t . co / EqwOED8ij5",12,1,581218915705069568,topic keyword
kent,My old mums got a NHS Scotland pillowcase on her Hosp bed in $t$ . Might have a problem ring fencing Scotland from the rest of NHS # bbcqt,13,0,573629507346829312,ne
europe,@ LabourSJ Why is the Labour Party stopping the people from having a say on $t$ ? # SayNoToLabour # VoteConservative # EU # brexit # GE15,15,-1,576716789020782592,ne
police,So when will the $t$ be investigating what looks like blatant electoral fraud in Dudley North ? # AfzalAmin # GE15,4,-1,579928652709797889,topic keyword
climate change,Care about $t$ ? Should we invest money in green energy ? Register to vote to have a say # BattleForNumber10 http :// t . co / KuxEsMKF6z,2,1,581218760872345600,topic keyword
eu,"Utter drivel from ukip - vast majority of our working rights come from $t$ , rise of zero hours result of austerity & financial crisis # bbcqt",13,1,581229506247180288,topic keyword
@kdugdalemsp?,"fairer more progressive country , $t$ More people in work & strongest economy in G7 ! Do @ scottishlabour have a clue at all ? # bbcqt",5,-1,573618566823571456,ne
fraud,So when will the police be investigating what looks like blatant electoral $t$ in Dudley North ? # AfzalAmin # GE15,12,-1,579928652709797889,topic keyword
the national health service,"Hey hey ! Charity sector ! It ' s Big Society time again , this time for $t$ . # bbcdp # PMQs",17,-1,575631638572498944,ne
@Hugh_Small:,$t$ We think austerity was brought in by a real crisis in Europe but we are not in the Eurozone # KCLEcon # GE2015 @ TheGreenParty,0,0,572428829127528448,ne
osborne,I write for @ ParlStreet on the key talking points from $t$ ' s final Budget before # GE2015 http :// t . co / FVXik4NlWX # Budget2015,11,0,578214908606709760,topic keyword
george,$t$ has just murdered Labour ' s GDP spending line # Budget2015 # GE2015,0,1,578178073016864768,ne
battlefornumber10 it,# $t$ ' s impossible to cut down immigration whilst we ' re in the EU .,1,0,581201899224973312,ne
iraq,If MSM held UK foreign policy to account we might not have so many security issues . # $t$ # Yemen # Libya # Afghanistan # bbcdp,18,-1,572736606584639488,topic keyword
economic,"Oh dear , Labour attacking on energy now ? Their climate change act put bills up and the absurd EU targets are $t$ madness # PMQs # bbcdp",22,-1,573098482564767744,topic keyword
guy lucky,The boat has been missed . You work hard now to cover high rent . No chance with deposit . $t$ of his age when prices not silly # bbcqt,20,0,578700996068659200,ne
a&e,Charge those who miss GP appointments . They waste time and clog up surgeries which force people to go to $t$ . # bbcqt,20,-1,566019550236655616,topic keyword
economy,"Told you , Cameron has again blamed ️Labour for world recession , yet Osborne inherited growing $t$ & stifled it # BattleForNumber10 # Ed4PM",16,-1,581202778003021824,topic keyword
vat,I wonder if $t$ was applicable to private education and financial transactions whether Tories would be so keen to raise it for all # ge2015,3,0,578583319274598400,topic keyword
ed,"# pmqs # bbcdp immigration from $t$ , poking # onetermdave about cutting it , and his broken promises of cutting net migration to 10s of thousands",6,0,573091704653385728,ne
tory,"urgh , now the $t$ to talk out of his backside , how many homeless or using food banks or in poverty thanks to your vile lot ? # bbcdp",4,-1,565475745448095745,party keyword
wtf get shapps,"# bbcdp $t$ and his cronies out , they don ' t give a shit about defence of this country , give it away in foreign aid FFS",2,-1,575622251967549441,ne
crime,"David Cameron has cut 17 , 000 police officers over five years . He just isn ' t serious about $t$ . # BattleForNumber10 # CheerioCameron",20,-1,581207491058511872,topic keyword
schools,"# bbcqt comprehensives to colleges , colleges to the current day ' academies ' has education really improved ? Are $t$ relying on this status",20,0,568543870818095105,topic keyword
cia,Are the Reavers in Serenity good guys ? Hardly . But nor are those who created them . This is like # ISIS and # MI5 # $t$ # GCHQ # NSA # NATO . # bbcdp,27,-1,572581141221416960,add
us,""" Russia on the march "" What is the guest on . There was peace in Ukraine UNTIL the EU + UK + NATO + $t$ stuck their nose into Ukrain oil / gas # bbcdp",25,-1,573819165842227201,add
homesforbritain,Housing Crisis anyone ? No mention by Cameron or Miliband # BattleForNumber10 # $t$,13,-1,581220397858840576,topic keyword
income tax,"@ daily _ politics # Cameron lies again Rich may pay more $t$ but VAT , NI , CTAX Fuel duties , Tx Credits down - poor pay more # bbcdp # PMQ",12,-1,580705793936388097,topic keyword
